,food_aspect,service_aspect,ambience_aspect
2624,"The WHOLE sandwich was served not even lukewarm, Brought it to the kitchen staff, they did exchange but the new one was only slightly lukewarm, The bacon was too salty and whole","Brought it to the kitchen staff, they did exchange",
2625,Visually appetising,Not worth it at all,
2626,,'ample seating','was told by friends that weekends have long Q's'
2627,Had the cheeseburger and topped up for bacon. Love the beef patty! Food is good. Just find the bacon and truffle hash brown a bit too salty.,Opt for bunless which they changed to salad. But I like the idea that they offer you salad in replacement of the buns :),
2628,'Finally visited this hyped up joint on a Friday morning. Took about 15-20 mins in the queue so that’s bearable though I can’t see myself queuing longer than 30 minutes to eat this. Good news is the food is very suitable for takeaway and you...','',''
2629,'Food is incredibly delicious. Fairfax is a must try. The brioche bun is soft and eggs are beaten and cooked creamy.',,
2630,"The food is good, but a bit salty. It's okay I still ate the food.",,"When there is no crowd, rush in to eat. I finally got it for me."
2631,"Both were yummy!, We added the Truffle Hashbrowns as well and they tasted great too!",,
2632,Fairfax and Double Cheese Burger,"queue up, weekdays 2-4.30pm ",
2633,The food was good,,
2634,"'absolutely delicious, but unapologetically greasy and gross'",,
2635,"cheeseburger and bacon, eggs and cheese ",NA ,
2636,"Delicious burger, bun, scrambled eggs, chives, caramelised onions, cheese, mayo, avocado, $14.50, $12, $2.50,",take away,
2637,"'breakfast sandwich', 'worth a try', 'pricey', 'coffee not too bad'",'go in the morning to beat the queues',
2638,"'Overall, the food was pretty good.' ",'The queue and overall waiting time were really long.' ,
2639,"""The only downside for me was that there's no chili sauce for my burger. There's only ketchup, ketchup, and more ketchup. Okay, and mayo, too.""",,
2640,'The sausage just taste with nice',,
2641,"""One of the better burgers(?) around town""","""queue can be horrible""",
2642,"Buns were soft and moist, on point. Bacon was crispy! ",,Only disappointing factor was that my burger was not hot at all. Which in fact affects the whole experience. 
2643,overrated sandwiches,wait around 10 min + to get our order,area and prices are okay
2644,"Had the bacon, egg & cheese burger and the Fairfax burger",It is a such a disappointment,
2645,Great breakfast/brunch place,"expect a queue, go a little before your appointment time to secure a table",
2646,"beef patty, Fairfax sandwich, bun was super soft, everything went well together,",,
2647,"scrambled egg was rather well done, Bacon, egg & cheese - came cold, buns were not fluffy and so hard, 2 eggs and a bunch of leaves, regret coming here, please don't come here, $12,",,
2648,Decent sandwich,queue 30 mins for it,
2649,great ,1 hour in the sun ,none
2650,'cold brew' 'hot brew' 'nasty','queue' '20mins for 2 pax',
2651,,"not friendly, cashier staff not speaking politely, use hand to tab on the little memo, hope the service can be improved",crowded restaurant
2652,nothing fantastic about the food ,"nothing fantastic about the drinks , amb: nothing fantastic about th",nothing fantastic about the ambience
2653,"'very average yet overpriced food, stone cold food'","'slow service, 30 minute wait'","'single use plastic, no recycling for plastic and paper'"
2654,'normal eggs and fresh food','long quene',
2655,,,nice place to hang out!
2656,'The food which is simply excellent. This is not your average all day breakfast sandwich. Full of flavor and simply perfect in every way.',,'Everything about this spot is great. The corner lot with large windows and seating that allows you to enjoy your meal and watch people go by.'
2657,The food was delicious,"the service was friendly, amb: th",the ambience was warm and inviting
2658,"""Food was, needless to say, eggcellent."" ","""Waited for a friend for more than an hour outside the restaurant, manager was very attentative and was very kind to offer me a seat inside whilst waiting. Top notch customer service and excellently accomodating of customer's needs."" ",
2659,"initial taste was good, but it was too heavy for me towards the end, After forcing myself to finish the upper end burger, I get a bit sick",Q is about 20-25 mins (non peak),
2660,"""the food taste goods. The bun is unique and fluffy and the eggs are nice.""","""If you don’t mind the queue and pricey tag""","""don’t expect too much per the hype the store receives so that you can enjoy the meal."""
2661,'food is somewhat over rated','staff are nice',
2662,"portion size, price ,","queue started forming,",comfortable
2663,"Painfully average tasting food at high prices, Not worth the hype,","long queue, Waited about 30 mins to get in,",
2664,"Great hangout place for eggs and bacon lovers, The food is a tad bit pricey however the quality of its product is of the highest standards, Eggs used are cage free and sustainable, Eggslut also sells merchandises",Its definitely an Instagrammable location,
2665,"Flavourful scrambled eggs with soft fluffy buns, Fairfax, Cheeseburger, great",,
2666,"'I loved the baconeggncheez 😩 sandwich (picture), the saltiness of the bacon + gooey yolk + buttery toasted bun is worth the heart disease for'",'This place is bussin/10🤤🤤',
2667,"Ordered the double cheeseburger and the scrambled egg burger, They are nice in their own way. Scrambled egg was not excellent but well done",,
2668,"'burger looks appetising', 'scrambled eggs has a rich whiff of smell', 'ordered avocado to go with the egg, should have added beef',","'long queue, luckily it moved relatively fast', 'you can customise your burger by adding different items'",
2669,"Tasteless Fairfax Sandwich, Egg too salty, Beef pattie taste faky, Hashbrown were nothing special",,
2670,"Lacklustre flavour, egg was bland, brioche bun was way too soggy, Meat tasted frozen",,
2671,'V creamy eggs n sloppy goodness','the service was a bit slow','the atmosphere was cozy'
2672,Biscuit and OJ,,
2673,"'I liked some burgers', 'they serve big portion burger and was very delicious', 'The food was astronomical'",'It was also a decent restaurant style and the service was decent',
2674,Beware of the egg inside the burger. It will shoot out when you bite it. Just use plastic knife and folk over the plate.,Come earlier 30mins for the Queue. Might be looks long but fast.,
2675,,,'Crowded when I am there'
2676,"Bacon, Egg & Cheese sandwich was too salty",,
2677,"'Love the sandwiches!', 'Would highly recommend theslut (mashed potato with boiled egg)', 'A must visit if you are a egg fan!' ",,
2678,,Not bad for the first try,
2679,"The truffle hash brown is good, but you need to be able to take salty...","If I need to queue more than 15-20mins to eat this, then I would probably pass. ",
2680,burger a little too salty,"short queue with a few tables available, some tables are dirty, have to clean with own wipes",
2681,Average food,"NA, amb",ambience is nice
2682,"sandwiches portion is big and definitely very filling, Love the hashbrown as the taste of truffles and duck fats is strong but not overpowering, Buttermilk scones is too dry for my liking",Q-ed for around 30-45mins on Friday lunch hour time,Slightly pricey
2683,"Soft tasting brioche buns, peppery, saltish tasting scrambled eggs",,
2684,"everything else that we tried were yummy, except the egg where the 2 star reduction came from. Being an egg expert, I would have expected ""OVER MEDIUM"" from them to be the real over medium, or else don't write over medium in the... ",NA ,
2685,waited around 10mins and got entry to order food ,was in a short queue of 6 group ,"free seating, if u are alone, I am not sure if u can get a seat if you order first"
2686,nice,"no social distancing, staffs too busy",
2687,KFC or MCD,,
2688,"Had to queue early in the morning to dine in, A little more pricey for a casual burger place but the taste makes up for it, Fairfax Burger is great as raved about,",,
2689,"bacon egg and cheese, fairfax, sriracha mayo, brioche buns",,
2690,'Food great as always','Staff managing the line was super kind and helpful',
2691,"Egg, overpriced, overhyped, taste average",,
2692,Fairfax sandwich,Is it supposed to be served cold?,
2693,"Fairfax, eggslutsg, popular item,","slow,",
2694,"ordered Fairfax and Egg salad, along with fresh orange juice. The juice was nice. The egg salad bun would have tasted nice if it was warm.",zero waiting time,
2695,"3/5 price: 4/5 (incl gst, no svc charge)","1/5 - queue mgmt staff instructed us to take high chair seating, and...",
2696,,,
2697,Taste very normal,,
2698,the food was delicious,"the service was great, amb: th",the ambience was cozy and inviting
2699,"ordered takeaway, fairfax burger with an additional beef patty, pretty salty, scrambled eggs were really good, sandwich was very filling, big,","shorter wait,",
2700,Fairfax and truffled hash browns,queue moves pretty quickly,
2701,Food quality is good,manager service attitude is really poor,
2702,"""crispy bacon with chipotle sauce"", ""messy affair to eat"", ""egg yolk will flow right through it"", ""super oily grease""",,
2703,,,
2704,"yummy, not bad, menu, items,","queue, not too long,",overrated
2705,"""The food was good""","""the service was friendly""","""the atmosphere was cozy"""
2706,'Yummy egg burger for EGG lovers! Fairfax Sandwich with truffle hashbrown',,
2707,brioche buns and eggs ,high price tag ,
2708,"very JENG & @ reasonable price too, what u c is what u get, price is inclusive of da GST, no service charge is required, even on weekday also need to queue arr. , N 2nd part of the queue is under sun/rain,","10-20+ crews are working to serve you,",N 2nd part of the queue is under sun/rain
2709,"Buns are warm, patties and burger ingredients neatly between buns. Not a messy meal.",,
2710,"overpriced yet mediocre food, bacon is pork",,
2711,Love the food ever since I tried them in US,Wait time has decreased since opening month and the staff has been excellent!,
